 Tp0 [ms];Tp1 [ms];Tp2 [ms];Tp3 [ms];Tp4 [ms];Tp5 [ms];Tp6 [ms];;
80;128;33;105;25;57;96;;
136;191;48;96;25;113;103;;
153;201;40;105;49;105;105;;
177;217;25;113;24;113;113;;
121;9;65;113;57;96;105;;
129;25;57;113;49;97;96;;
89;153;57;128;73;153;121;;
89;9;49;113;49;105;105;;
129;177;49;153;33;129;112;;
137;193;49;105;41;113;105;;
177;17;49;105;73;121;121;;
369;17;73;97;49;127;161;;
113;153;48;105;49;121;112;;
89;1;64;137;25;344;121;;
57;33;81;104;81;137;145;;
104;25;81;105;89;193;128;;
113;161;33;129;57;129;137;;
57;17;89;113;56;169;137;;
88;17;97;145;169;121;120;;
57;25;65;113;17;104;105;;
81;40;80;129;40;129;105;;
89;105;137;137;49;121;111;;
57;24;65;112;81;120;112;;
57;33;73;113;57;121;105;;
113;9;41;112;40;112;113;;
96;17;49;105;49;104;105;;
161;25;73;113;32;88;105;;
89;25;81;105;64;273;145;;
88;17;73;105;248;248;80;95;113
64;16;64;105;33;113;320;;
97;153;41;105;57;121;121;;
160;201;41;97;25;120;96;;
121;201;48;113;248;129;112;;
137;17;65;113;73;152;169;;
105;17;73;105;65;112;113;;
89;153;40;96;41;112;113;;
121;17;73;105;65;129;97;;
56;17;65;96;56;112;95;;
120;168;41;105;57;113;105;;
88;144;48;89;17;97;97;;
145;185;25;105;33;127;113;;
105;161;49;113;41;105;97;;
64;17;65;103;33;113;113;;
65;1;41;105;49;113;113;;
80;127;49;105;17;121;129;;
104;17;49;97;9;137;113;;
88;136;73;97;25;104;113;;
97;145;57;105;25;98;104;;
87;143;48;121;65;160;105;;
129;9;73;113;81;105;97;;
113;161;48;112;49;121;113;;
